Heure;IP source;IP destination;Flag;Seq;Length
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];99648:100445,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];142:994,;"1448
"
11:42:30;BP-Linux8.40682;mauves.univ-st-etienne.fr.https:;[.];142:909,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];142:1590,;"1432
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];1590:3038,;"0
"
11:42:30;BP-Linux8.40682;mauves.univ-st-etienne.fr.https:;[.];3038:4486,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];4486:5934,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];5934:7165,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];2226:2717,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];1081:1561,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[P.];142:1590,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];1590:2408,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];142:1389,;"110
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];100445:101893,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];101893:103341,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];103341:104789,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];104789:106237,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];106237:107685,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];107685:109133,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];109133:110581,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];110581:112029,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];112029:113477,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];113477:114925,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];114925:116373,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];116373:116858,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];116858:117305,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];994:2442,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];2442:3890,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[P.];3890:5338,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];5338:6786,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];6786:8234,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[P.];8234:9682,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[P.];9682:11130,;"1072
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[P.];11130:12578,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[P.];12578:14026,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[P.];14026:15474,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[P.];15474:16922,;"1440
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];16922:18370,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];18370:19818,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];19818:21266,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];21266:22714,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];22714:24162,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];24162:25610,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];25610:27058,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];27058:28506,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];28506:29954,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];29954:31402,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];31402:32850,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];32850:34298,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];34298:34898,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];2717:3175,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[P.];1053:1512,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];1071:1528,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];1046:1503,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];1061:1523,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];1561:2031,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];117305:118753,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];7165:8613,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];118753:119824,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];8613:10061,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];10061:10816,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[P.];1389:2837,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];2837:4137,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];909:2357,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];2408:3856,;"1448
"
11:42:30;BP-Linux8.40682;mauves.univ-st-etienne.fr.https:;[.];3856:4767,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];2357:3805,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];3805:4210,;"1392
"
11:42:30;BP-Linux8.40682;mauves.univ-st-etienne.fr.https:;[.];3175:3646,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];1512:1994,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];1523:2001,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];1528:1999,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];1503:1976,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];34898:36346,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];36346:37794,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[P.];37794:38551,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];2031:2518,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];10816:12264,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];12264:13712,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];13712:15160,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];15160:16608,;"240
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];16608:18056,;"1448
"
